lat,lon,state,Alkalinity_total,Dissolved_oxygen_DO,Hardness_Ca_Mg,Specific_conductance,Temperature_water,Total_dissolved_solids,Turbidity,pH
25.879677987,-80.236215,FL,,0.8566666666666668,,468.8,,,,
25.880032987,-80.129597,FL,,,,41951.0,,,,
25.880565,-81.48384,FL,,,,,,,6.1,
25.885260001,-80.11218,FL,,,,,,,0.35,
25.888275,-80.1874055555556,FL,,,,17640.0,26.02857142857143,,,
25.889520363,-81.476548048,FL,,,,,23.81,,,
25.890007987,-80.243468,FL,,0.38,,,,,,
25.893723987,-80.130186,FL,,,,,28.34,,,
25.893791827,-80.242882551,FL,,5.39,,428.3,,,,
25.8939883,-80.1540054,FL,,4.85,,44246.4,,,,
25.894469444,-81.558869444,FL,,4.27,,,,,,
25.895878976,-80.379493373,FL,,1.05,,592.86,24.75,,,
25.8976944444444,-80.1825555555556,FL,,,,464.39130434782606,26.39230769230769,,,
25.897768277,-80.24577639,FL,,2.43,,373.5,23.0833333333333,,4.3,
25.900000001,-80.119714,FL,,,,,,,0.65,
25.900175,-80.194775,FL,,,458.0,1633.4615384615386,26.357142857142858,610.825,,7.1
25.9001888888889,-80.1947944444445,FL,,,358.0,1471.4285714285713,26.135714285714283,363.995,,7.1
25.90019722222222,-80.19482777777777,FL,,,961.0,6716.153846153846,25.0,,,7.0
25.9002222222222,-80.1949722222222,FL,,,244.0,981.0,24.8,264.86,,8.0
25.900324517,-80.143940329,FL,,5.345,,49801.56666666667,24.3888888888889,,0.5,
25.901557543,-80.162823608,FL,,1.87,,,27.3279999999999,,,
25.9017218,-80.1422694,FL,,5.84,,,,,,
25.9041527777778,-80.1955388888889,FL,,,,3140.450980392157,25.0,,,
25.90588986,-80.163820833,FL,,4.8875,,17.904666666666667,27.701600000000003,,,
25.906336807,-80.163820904,FL,,3.59,,40572.0,,,,
25.910338843,-81.363136892,FL,,1.98,,410.0,26.0,,,
25.912163897,-81.708537624,FL,,,,,29.2,,12.0,
25.913253001,-81.724066,FL,,,,51300.0,28.2,,3.0,
25.913452083,-80.292494474,FL,,4.9399999999999995,,,30.17711111,,,
25.914099987,-81.5404,FL,,,,,33.01,,,
25.9147444444444,-80.1855555555556,FL,,,,771.0,25.133333333333336,,,
25.915709566,-80.235978097,FL,,,,452.0,29.08333333333335,,,
25.9164775,-81.580708611,FL,,,,61046.0,,,,
25.916664067,-80.212086572,FL,,,,,,,1.4,
25.917671,-80.1257684,FL,,5.65,,52827.6,24.27972,,,
25.918484726,-80.324699048,FL,,5.225,,577.7333333333333,25.2544,,,
25.920750001,-80.08608,FL,,,,,,,0.3,
