system:index,lat,lon,mndwi,ndci,ndvi,.geo
172,46.50134,-101.86412,-0.5151515151515151,0.17385257301808066,0.517987557479037,"{""type"":""Point"",""coordinates"":[-101.86412,46.50134]}"
173,40.37884,-74.94836,-0.4972972972972973,0.24673710379117464,0.6659316427783903,"{""type"":""Point"",""coordinates"":[-74.94836,40.37884]}"
174,41.6057,-85.54302,-0.19454269833249116,0.21551081282624907,0.5861526357199056,"{""type"":""Point"",""coordinates"":[-85.54302,41.6057]}"
175,28.53169,-82.61811,-0.18490566037735848,-0.05912863070539419,0.2209080503624571,"{""type"":""Point"",""coordinates"":[-82.61811,28.531690000000005]}"
176,40.02858,-85.2999,0.3704789833822092,0.36777178103315344,0.376425855513308,"{""type"":""Point"",""coordinates"":[-85.2999,40.02857999999999]}"
177,39.524,-91.6478,0.6584564860426929,-0.025222551928783383,-0.24841915085817526,"{""type"":""Point"",""coordinates"":[-91.6478,39.524]}"
178,30.36111,-83.13528,-0.5616438356164384,0.31712962962962965,0.7397441552712837,"{""type"":""Point"",""coordinates"":[-83.13528,30.36111]}"
179,36.20021,-78.88615,-0.30880929332042595,0.07754010695187166,0.33268858800773693,"{""type"":""Point"",""coordinates"":[-78.88615,36.20021]}"
180,39.01852,-119.71295,-0.3314222712238148,0.04678295775337371,0.16462647294359908,"{""type"":""Point"",""coordinates"":[-119.71295000000005,39.018519999999995]}"
181,48.40378,-93.68944,-0.5023923444976076,0.31601731601731603,0.48083242059145676,"{""type"":""Point"",""coordinates"":[-93.68944,48.40378]}"
182,45.00914,-106.83594,-0.10918829831067162,0.0411790203727785,-0.3620689655172414,"{""type"":""Point"",""coordinates"":[-106.83594000000001,45.00914]}"
