avg_temp_max,avg_precip,soil_temp_surface,soil_temp_deep,soil_moisture_surface,soil_moisture_deep,lat,lon,elevation,dist_to_coast,ndci,ndvi,mndwi
26.8,1.89,22.5,20.9,0.15,0.161,42.91108,-70.82708,1.0,21.8,0.037037037037037,0.0496083550913838,0.0979020979020979
34.1,7.41,29.8,29.3,0.253,0.261,27.11872,-81.15731,8.0,174.9,0.4348837209302325,0.268347760632292,-0.6628630705394191
26.0,1.84,21.7,20.2,0.236,0.24,43.61358,-92.96947,358.0,487.8,0.0337751175716118,0.2312925170068027,-0.2748073780060706
23.3,1.22,18.3,17.0,0.164,0.168,43.76088,-74.91592,536.0,332.5,0.0772277227722772,0.607413647851727,-0.2059514487079091
25.7,4.31,21.4,20.3,0.145,0.149,43.79004,-89.60018,275.0,284.0,0.4305694305694306,0.7375690607734806,-0.5859576664945793
29.7,4.59,25.5,23.9,0.181,0.184,38.80842,-77.29678,108.0,27.6,0.3383613301336989,0.7057428426223954,-0.5458872920361418
31.8,0.36,26.0,24.0,0.09,0.139,40.04385,-104.82373,1501.0,1370.0,-0.0787368421052631,0.0592411260709914,-0.1568260414353247
31.7,4.29,26.9,25.5,0.28,0.282,32.43011,-85.65067,103.0,269.4,0.3148820326678765,0.5931015898679601,-0.5961748633879781
30.1,0.78,25.5,24.1,0.227,0.229,38.6386,-75.3161,13.0,148.9,0.2334983498349835,0.6244188397008288,-0.4629324546952224
26.2,0.13,21.4,18.1,0.096,0.143,42.43916,-122.01224,1259.0,207.5,0.1098085769401989,-0.4531581178465451,0.933731667571972
32.3,2.38,28.0,26.6,0.238,0.242,34.97582,-96.24075,214.0,591.9,0.0763533384162945,0.0574985180794309,-0.0340177750536316
27.1,2.35,21.8,20.2,0.255,0.259,44.9321,-93.6691,280.0,438.5,0.0046022353714661,0.0631188118811881,-0.179236641221374
33.7,5.05,30.2,29.8,0.173,0.175,26.72273,-81.69102,1.0,180.6,0.3158098183223811,0.6936126016963822,-0.2779187817258883
27.1,5.15,22.8,21.4,0.282,0.285,41.42512,-85.5373,264.0,174.3,0.1909982688978649,0.4160766347355268,-0.5475923852183651
26.8,3.55,21.8,20.2,0.255,0.259,44.84061,-93.6825,284.0,447.0,0.1679586563307493,0.1806615776081425,-0.0895522388059701
32.8,8.66,27.9,26.9,0.29,0.294,30.8163,-88.0711,13.0,95.4,0.1651829871414441,0.2392969806219017,-0.4365591397849462
26.0,1.86,21.1,19.4,0.092,0.095,42.79547,-72.00792,310.0,93.5,0.005420054200542,-0.1223241590214067,0.5014492753623189
29.5,0.08,25.3,22.5,0.062,0.112,40.57482,-109.61822,1908.0,1059.3,0.3837305111769803,0.6972034259215446,-0.4675974403723094
31.5,10.32,27.7,26.9,0.271,0.277,30.7093,-84.7241,60.0,239.6,0.0286120530600959,0.2830675822551293,-0.2547397872157662
32.3,2.6,31.4,31.3,0.174,0.177,25.81508,-80.17527,2.0,3.0,-0.3135593220338983,-1.0,0.9125
28.1,4.44,25.8,23.8,0.299,0.304,41.44306,-82.95278,172.0,284.3,0.0811309157959434,-0.2860215053763441,0.9163043478260868
32.9,1.43,27.1,25.8,0.203,0.207,36.18278,-78.87889,133.0,237.7,0.4351279788172992,0.7221016066000868,-0.455188679245283
31.7,3.52,26.0,24.5,0.293,0.295,33.4297,-85.012,216.0,395.1,-0.0627007733491969,0.1668687622423281,-0.1891252955082742
29.2,16.2,25.6,24.2,0.282,0.286,37.50651,-94.56776,284.0,757.0,0.0390879478827361,0.3171296296296296,-0.3646163601775523
31.8,4.35,28.6,27.1,0.223,0.227,34.492,-96.992,282.0,553.5,0.164785553047404,0.5013477088948787,-0.4698952879581152
31.2,0.75,24.7,22.8,0.099,0.137,40.28171,-105.08494,1516.0,1361.6,0.2537878787878788,0.6247619047619047,-0.5066425120772947
25.9,4.31,21.6,20.2,0.236,0.24,43.65651,-93.00322,375.0,492.2,0.1966527196652719,0.5838150289017341,-0.4693492612386042
24.8,3.75,20.4,19.3,0.276,0.279,36.23912,-81.67036,1039.0,410.7,-0.0745614035087719,-0.3066666666666666,0.2991656734207389
24.5,2.27,19.6,18.1,0.267,0.27,46.11584,-93.73356,379.0,351.9,0.1027142096860032,0.5475040257648953,-0.4061019518665908
33.5,2.34,28.5,27.3,0.074,0.073,32.4061,-81.01872,13.0,113.6,0.36124911284599,0.5978552278820375,-0.5064935064935064
26.0,2.17,21.2,19.5,0.157,0.17,43.61662,-70.25116,20.0,77.8,0.3956916099773243,0.7186592768540512,-0.6028464927143341
30.7,1.34,25.5,23.9,0.179,0.181,39.00208,-76.89098,33.0,14.8,0.0762876579203109,0.5226017076845806,-0.3510480277273477
26.6,3.29,21.4,20.1,0.113,0.117,41.70075,-73.2777,270.0,126.6,-0.0230179028132992,-0.6260162601626016,0.5085470085470085
23.8,6.78,18.7,17.6,0.23,0.233,47.57193,-95.09033,427.0,389.8,0.2531590413943355,0.6818266196398738,-0.4515948517067711
26.1,1.45,20.7,19.9,0.142,0.159,43.733,-70.2048,6.0,90.0,0.1857100089811396,-0.0156833457804331,-0.0567989864864865
26.9,1.03,22.6,21.2,0.202,0.216,42.97384,-85.02497,193.0,199.3,0.0940465918895599,0.4030699260943718,-0.4320388349514563
33.9,8.26,28.6,28.0,0.18,0.184,30.46232,-87.27284,21.0,9.8,0.0947368421052631,-0.237410071942446,-0.1666666666666666
30.5,2.96,25.9,24.3,0.186,0.19,38.82422,-75.30861,1.0,146.7,-0.0179177889682632,0.1042868920032975,-0.0603323296531727
